,MONTH,DAY,WEEKDAY,HOLIDAY,SEASON_SE_NM,AVRG_TMPRT,DAY_RAINQTY,DAY_MSNF,AVRG_WS,AVRG_HUMIDITY,INDUSTRIAL_CNT,BAR_CNT,SENIOR_CENTER_CNT,RESTAURANT_CNT,BULID_PERMIT_CNT,ACCIDENT_AREA_CNT,ALL_POP,ELDER_POP,GRID_ID
0,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.06461103610318708,0.0,0.12967147750220637,0.0,0.0,0.0,378509
1,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.1026142010045631,0.06461103610318708,0.1026142010045631,0.06461103610318708,0.0,0.10555488945388333,0.06311758472232992,378511
2,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.06461103610318708,0.0,0.06461103610318708,0.0,0.0,0.023567563806336556,0.015319788581807107,378512
3,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.1026142010045631,0.37920832123884474,0.2489202886865659,378513
4,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.06461103610318708,0.0,0.0,0.0,0.056562104864096255,0.011914108309233819,378514
5,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378520
6,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.0,0.16114324987271478,0.12135311116025188,378521
7,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379506
8,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.06461103610318708,0.0,0.0,0.0,0.008034008362014426,0.010940506910681777,379507
9,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379511
10,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.06461103610318708,0.0,0.0,0.06461103610318708,0.0,0.0,379515
11,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.06461103610318708,0.0,0.0,0.06461103610318708,0.0,0.0,379516
12,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.0,0.39410828016470145,0.19067490839547552,379518
13,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.06461103610318708,0.0,0.0,0.0,0.0,0.0,379519
14,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.0,0.03953538023540698,0.009744026343173711,379521
15,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379524
16,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379525
17,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.0,0.06674538939483277,0.034376893494631335,379528
18,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.06461103610318708,0.0,0.0,0.0,0.0,0.0,380508
19,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.06461103610318708,0.0,0.0,380516
20,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.06461103610318708,0.0,0.0,0.0,0.0,0.0,380517
21,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.12967147750220637,0.0,0.0,0.0,380518
22,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.06461103610318708,0.0,0.0,0.06461103610318708,0.1513959281433905,0.06567445853249819,380519
23,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.12967147750220637,0.0,0.0,0.06461103610318708,0.0,0.0,380520
24,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.06461103610318708,0.0,0.0,380521
25,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380527
26,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.0,0.16011303553707845,0.12419683139253687,380528
27,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380530
28,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381513
29,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381514
30,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.0,0.08859037878643661,0.03934251647382405,381517
31,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.1026142010045631,0.0,0.047634074110915185,0.021615016713892685,381518
32,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381519
33,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.06461103610318708,0.01820214423197079,0.010349860513082287,381520
34,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.1026142010045631,0.0,0.06461103610318708,0.0,0.27752106452653375,0.24178946711673388,381521
35,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381527
36,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.06461103610318708,0.0,0.0,0.0,0.2933734113735963,0.1596186248571949,381530
37,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.06461103610318708,0.24459024276467103,0.1213375286450805,381531
38,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.06461103610318708,0.0,0.0,0.30601099346199423,0.20333117890662095,381532
39,1,31,6,0.0,4,0.0,0.0,0.0,0.0,0.40034256855762246,0.0,0.0,0.0,0.0,0.0,0.0,0.5079476758357995,0.351402706140826,381533
