필지고유번호(PNU),주소,도로명 주소
4.21301E+18,행구동 383-7,운곡로 254-15
4.21303E+18,문막읍 대둔리 83,원문로 2716-41
4.21303E+18,문막읍 대둔리 83,원문로 2716-41
4.21303E+18,문막읍 반계리 807-3,원문로 2561-5
4.21303E+18,문막읍 반계리 790-4,원문로 2561-2
4.21303E+18,문막읍 반계리 758-1,원문로 2535
4.21303E+18,문막읍 취병리 1126,원문로 2000
4.21303E+18,소초면 장양리 410-18,장수1로 232-3
4.21303E+18,소초면 장양리 410-10,장수1로 232-8
4.21303E+18,소초면 수암리 1258,장수2로 268
4.21303E+18,소초면 장양리 385,장수2로 160
4.21304E+18,부론면 정산리 1052,정산로 92
4.21304E+18,부론면 정산리 238-1,정산로 232-18
4.21303E+18,지정면 가곡리 1476,조엄로 393
4.21303E+18,지정면 가곡리 1476,조엄로 393
4.21303E+18,지정면 가곡리 1470-1,조엄로 397
4.21303E+18,지정면 가곡리 1283-1,조엄로 347-2
4.21303E+18,지정면 판대리 48-7,지정로 1280-1
4.21301E+18,태장동 2796,치악로 1989
4.21303E+18,소초면 교항리 312-6,치악로 3125-19
4.21303E+18,소초면 평장리 668,치악로 2716
4.21301E+18,관설동 1452-13,치악로 1505
4.21301E+18,관설동 1332-1,치악로 1435
4.21301E+18,관설동 625-7,치악로 1350
4.21301E+18,관설동 555,치악로 1384
4.21303E+18,호저면 용곡리 366,칠봉로 879-20
4.21303E+18,호저면 주산리 992-12,칠봉로 109-128
4.21301E+18,행구동 197-22,행구로 478
4.21301E+18,가현동 369-8,호저로 230
4.21303E+18,소초면 흥양리 1319,황골로 41
4.21303E+18,소초면 흥양리 1301-1,황골로 84-7
4.21303E+18,소초면 흥양리 927,황골로 219-7
4.21303E+18,소초면 흥양리 309,황골로 456
4.21303E+18,소초면 흥양리 97,황골로 458
4.21303E+18,지정면 신평리 1215,신평석화로 5
4.21303E+18,호저면 무장리 1434-1,신평석화로 151-3
4.21301E+18,학성동 213-2,중앙로 199
4.21304E+18,부론면 단강리 1377,부귀로 765-11
4.21304E+18,귀래면 운계리 680-6,북원로 345-2
4.21304E+18,귀래면 운계리 679-2,북원로 349
4.21304E+18,귀래면 귀래리 126-1,북원로 789-23
4.21304E+18,귀래면 운남리 1029-10,북원로 164
4.21303E+18,소초면 장양리 1310,북원로 2955
4.21303E+18,소초면 장양리 1310,북원로 2955
4.21304E+18,신림면 성남리 281-3,성남로 167-22
4.21303E+18,문막읍 반계리 2255-7,반산2로 98
4.21303E+18,지정면 가곡리 1298-7,기업도시로 229
4.21303E+18,지정면 가곡리 1325,기업도시로 200
4.21303E+18,지정면 가곡리 1292,기업도시로 245
4.21304E+18,신림면 신림리 612-5,제원로 1390-1
4.21303E+18,지정면 가곡리 1352-2,도원로 20-1
4.21303E+18,지정면 가곡리 1507-2,신지정로 266
4.21303E+18,지정면 가곡리 1501,신지정로 250
4.21303E+18,지정면 가곡리 1501,신지정로 300
4.21303E+18,지정면 가곡리 1468,신지정로 255
4.21303E+18,지정면 신평리 1133-14,신지정로 123-3
4.21303E+18,지정면 가곡리 1420-11,신지정로 153-23
4.21303E+18,지정면 가곡리 1374-7,신지정로 197-4
4.21301E+18,반곡동 1450-35,반곡초교로 77-3
4.21301E+18,관설동 173-25,갈촌길 97-4
4.21301E+18,관설동 1595-15,갈촌길 99-5
4.21303E+18,소초면 수암리 1524,갓바우길 99-5
4.21303E+18,문막읍 포진리 926-1,개나루길 13
4.21303E+18,문막읍 포진리 173-2,개나루길 49-7
4.21303E+18,호저면 매호리 873,고논골길 18-31
4.21301E+18,행구동 148,고문골길 45-1
4.21303E+18,호저면 광격리 288,광격샘골길 54-39
4.21303E+18,호저면 광격리 288,광격샘골길 54-39
4.21303E+18,문막읍 건등리 338-5,구암길 31
4.21303E+18,문막읍 궁촌리 717-3,궁촌샛담길 62
4.21301E+18,단구동 928-5,귀론길 16
4.21304E+18,흥업면 대안리 1121,금산길 15-45
4.21301E+18,개운동 350-4,남원로602번길 26
4.21304E+18,판부면 서곡리 330-11,내남송길 96-10
4.21304E+18,판부면 서곡리 781-2,내도매길 30
4.21304E+18,귀래면 운남리 562-8,너더리길 8-15
4.21303E+18,소초면 흥양리 1323-6,노루고개길 30-41
4.21304E+18,신림면 금창리 379-25,다리실2길 86-9
4.21301E+18,단구동 850-3,단관공원길 104
4.21301E+18,단구동 571-9,단구로243번길 10-1
4.21301E+18,단구동 139-77,단사정길 18-14
4.21301E+18,관설동 623-3,당둔지길 6-8
4.21303E+18,소초면 흥양리 299-2,대왕고개길 44-15
4.21303E+18,소초면 흥양리 293-52,대왕고개길 51-10
4.21303E+18,소초면 평장리 503,도도리길 107
4.21301E+18,우산동 103-27,돌터1길 14
4.21303E+18,문막읍 동화리 630-5,동건길 55
4.21301E+18,일산동 287-17,동진골1길 86-1
4.21303E+18,문막읍 동화리 579,동화골길 48-32
4.21304E+18,신림면 금창리 727,둔창예찬길 348
4.21303E+18,호저면 주산리 73-4,막골길 144
4.21303E+18,문막읍 궁촌리 1966,만디길 25-43
4.21304E+18,흥업면 매지리 1238-7,매남동길 5-1
4.21304E+18,판부면 서곡리 1988-13,매봉길 6-7
4.21304E+18,판부면 서곡리 1988-12,매봉길 6-9
4.21304E+18,흥업면 매지리 581-3,매지회촌길 64
4.21303E+18,문막읍 건등리 18-12,명봉산길 134-31
4.21303E+18,문막읍 건등리 259-3,명봉산길 59
4.21303E+18,문막읍 건등리 101-9,명봉산길 134-25
4.21301E+18,단계동 61-15,모란1길 12
4.21301E+18,단계동 61-13,모란1길 10
4.21304E+18,부론면 노림리 8,모산길 15
4.21303E+18,문막읍 문막리 91-1,문막골말길 76
4.21303E+18,문막읍 반계리 2225,문막공단길 194
4.21303E+18,문막읍 문막리 237,문막시장1길 58
4.21304E+18,귀래면 주포리 231-2,미륵산길 407-1
4.21304E+18,귀래면 주포리 147-2,미륵산길 270-15
4.21301E+18,반곡동 1585-8,반곡길 81
4.21304E+18,판부면 서곡리 981-16,백운정길 122-17
4.21303E+18,소초면 둔둔리 479-2,버덩마을길 63
4.21303E+18,문막읍 반계리 1752-8,벌무내기길 73-5
4.21303E+18,소초면 흥양리 944-52,범골길 29-5
4.21304E+18,흥업면 사제리 771,복거리길 41-1
4.21304E+18,흥업면 사제리 770,복거리길 45
4.21301E+18,행구동 888-72,봉대길 8-3
4.21301E+18,단계동 61-1,북원로2425번길 25-33
4.21304E+18,흥업면 매지리 87-1,분지동길 147-9
4.21304E+18,흥업면 매지리 41-5,분지동길 106-2
4.21304E+18,부론면 단강리 480,사기막길 4
4.21304E+18,부론면 단강리 348,사기막길 49-15
4.21303E+18,문막읍 반계리 862-13,사자골길 314
4.21303E+18,문막읍 반계리 862,사자골길 314
4.21303E+18,문막읍 반계리 862,사자골길 314
4.21303E+18,호저면 주산리 132-3,살감길 64-5
4.21303E+18,호저면 무장리 1249,살미길 69-10
4.21301E+18,우산동 660,상지대길 83
4.21303E+18,소초면 흥양리 702-2,상초구길 35-74
4.21304E+18,판부면 서곡리 1130-8,서평길 12-2
4.21301E+18,관설동 376-1,섭재길 77
4.21301E+18,관설동 354-1,섭재길 51
4.21301E+18,반곡동 605-27,섭재삼보길 160-15
4.21301E+18,관설동 558-49,섭재삼보길 153-15
4.21301E+18,관설동 287-57,섭재삼보길 3
4.21303E+18,문막읍 동화리 608-3,성아길 55
4.21304E+18,신림면 황둔리 601,소야2길 30
4.21304E+18,부론면 손곡리 541-7,손곡새말길 38-39
4.21304E+18,신림면 신림리 533,송림안길 7
4.21301E+18,무실동 1182-3,송삼길 140
4.21303E+18,소초면 수암리 1435,수암젓둔길 10-6
4.21303E+18,호저면 만종리 160-8,쉬고개길 135-2
4.21304E+18,흥업면 대안리 634-12,승안동길 242-31
4.21304E+18,흥업면 대안리 587-5,승안동길 242-56
4.21304E+18,흥업면 대안리 386,승안동길 69
4.21303E+18,소초면 수암리 530-1,싱근솔길 22-41
4.21304E+18,신림면 신림리 4,싸리치길 137-76
4.21304E+18,판부면 서곡리 612,아랫거리길 6-4
4.21303E+18,소초면 평장리 155-1,어용골길 52
4.21303E+18,소초면 평장리 129,어용골길 17-3
4.21304E+18,신림면 용암리 83-3,연봉정길 48-18
4.21301E+18,행구동 1658-90,영랑길 95-10
4.21301E+18,행구동 1512-106,영랑길 109-8
4.21301E+18,행구동 1836-17,오리현안길 28
4.21301E+18,단구동 1721,오성마을길 63-25
4.21301E+18,단구동 1721,오성마을길 63-25
4.21303E+18,지정면 간현리 273,오얏길 26
4.21303E+18,지정면 가곡리 838-25,요대길 24-25
4.21303E+18,지정면 가곡리 151-5,요대길 30-1
4.21304E+18,판부면 서곡리 1286-5,용수골길 229
4.21301E+18,봉산동 902-415,우물시장길 67-1
4.21304E+18,귀래면 운남리 130,운남길 443
4.21304E+18,흥업면 흥업리 69,울업2길 3
4.21304E+18,귀래면 귀래리 1174,원대골길 63
4.21301E+18,단계동 94-2,원문로100번길 31
4.21301E+18,단계동 102-21,원문로110번길 21-1
4.21303E+18,문막읍 건등리 389,원평길 100-24
4.21301E+18,반곡동 1746-4,월운정안길 9
4.21303E+18,지정면 월송리 623-21,월호동길 5-17
4.21304E+18,신림면 성남리 707-3,윗성남2길 13-2
4.21301E+18,우산동 282,유원길 17-3
4.21301E+18,봉산동 1134-2,임윤지당길 16-1
4.21303E+18,호저면 주산리 1002-5,자은동길 115-33
4.21303E+18,지정면 월송리 948,정골길 32-14
4.21304E+18,신림면 용암리 623-5,정암길 57-12
4.21304E+18,귀래면 주포리 289,주포안말길 10-23
4.21303E+18,호저면 만종리 861-2,중부동2길 17-41
4.21301E+18,무실동 708-9,지니기길 11-24
4.21303E+18,문막읍 건등리 1144-5,지샘등안길 39-22
4.21303E+18,문막읍 건등리 1144-4,지샘등안길 39-20
4.21303E+18,문막읍 건등리 1144-3,지샘등안길 39-20
4.21303E+18,문막읍 건등리 1144-3,지샘등안길 39-20
4.21303E+18,문막읍 건등리 1144-1,지샘등안길 39-20
4.21304E+18,귀래면 용암리 162,지차골길 67
4.21303E+18,문막읍 반계리 1122-5,쪽섬길 48
4.21304E+18,신림면 성남리 37,축치동길 84-10
4.21303E+18,소초면 학곡리 234-5,칠송윗길 114-21
4.21304E+18,신림면 용암리 885,탑골길 20-1
4.21304E+18,신림면 용암리 875-4,탑골길 34
4.21303E+18,문막읍 동화리 1283-3,탑전길 22
4.21304E+18,흥업면 사제리 1295,팔포길 56
4.21304E+18,흥업면 사제리 1295,팔포길 56
4.21304E+18,흥업면 사제리 1295,팔포길 56
4.21303E+18,소초면 평장리 289,평장안골1길 150-30
4.21303E+18,소초면 흥양리 384,하초구길 163-9
4.21304E+18,부론면 정산리 558,학고개길 75
4.21304E+18,부론면 정산리 477,학고개길 75
4.21304E+18,흥업면 대안리 61-1,해삼터길 160
4.21304E+18,흥업면 대안리 50,해삼터길 119-5
4.21301E+18,무실동 1487-1,행가리1길 98-8
4.21301E+18,행구동 144-15,행구윗담길 40-11
4.21301E+18,태장동 1390-12,현충로318번길 27-1
4.21301E+18,태장동 691-11,현충로58번길 8
4.21303E+18,문막읍 동화리 239-3,호적길 21
4.21303E+18,문막읍 동화리 238-1,호적길 10-1
4.21301E+18,단구동 88-8,홍판서길 17-3
4.21301E+18,행구동 1550-2,화실유암길 92-28
4.21304E+18,신림면 구학리 604,황학길 21-24
4.21304E+18,신림면 금창리 74-6,흑천길 71
4.21304E+18,신림면 금창리 48-9,흑천길 97-5
4.21303E+18,지정면 안창리 497,흥법사지길 220
4.21301E+18,태장동 1054-50,흥양로18번길 19-45
4.21301E+18,태장동 2793,흥양로51번길 40
4.21301E+18,태장동 1167-7,흥양로51번길 38
4.21303E+18,호저면 무장리 596,생담길 120-42
4.21301E+18,반곡동 1948-3,금두길 10-2
4.21301E+18,반곡동 1989-5,봉황1길 23
4.21301E+18,반곡동 1983-6,봉황1길 8
4.21301E+18,반곡동 2064-14,봉황5길 27
4.21303E+18,지정면 가곡리 1440-9,능마루길 4-27
4.21301E+18,단계동 1221,서원대로 35
4.21304E+18,신림면 황둔리 1543-2,신림황둔로 708
4.21304E+18,신림면 신림리 541-5,신림황둔로 39
4.21303E+18,지정면 월송리 925-3,월송석화로 518
4.21301E+18,가현동 260,가현로 186
4.21301E+18,학성동 10-2,강변로 667
4.21304E+18,부론면 노림리 1297,견훤로 689-38
4.21304E+18,부론면 노림리 17-11,견훤로 770-7
4.21304E+18,부론면 노림리 17-9,견훤로 770-8
4.21303E+18,문막읍 후용리 1007,견훤로 1079-27
4.21304E+18,귀래면 귀래리 869,귀문로 300
4.21304E+18,귀래면 귀래리 565,귀문로 416
4.21301E+18,반곡동 1760-4,늘품로 188-25
4.21301E+18,단계동 795-1,단구로 45-21
4.21304E+18,흥업면 대안리 2206-3,대안로 386
4.21304E+18,흥업면 대안리 2206-3,대안로 386
4.21304E+18,흥업면 대안리 2116,대안로 446
4.21303E+18,소초면 수암리 1603-4,동부순환로 809
4.21301E+18,행구동 1779-15,동부순환로 325-1
4.21301E+18,행구동 1779-4,동부순환로 325-14
4.21303E+18,소초면 둔둔리 510-4,둔둔로 307
4.21303E+18,소초면 둔둔리 240-7,둔둔로 131
4.21301E+18,무실동 1721-1,만대로 21
4.21301E+18,무실동 412,만대로 16-6
4.21303E+18,호저면 매호리 782,매호로 143
4.21303E+18,호저면 매호리 782,매호로 143
4.21304E+18,부론면 법천리 247,법후로 228
4.21303E+18,문막읍 동화리 97,보통로 81
4.21301E+18,봉산동 833-6,봉산로 135-1
4.21301E+18,단계동 865,봉화로 26
4.21304E+18,부론면 정산리 2061-22,부론로 247
4.21304E+18,흥업면 사제리 1184-1,사제로 401-42
4.21304E+18,흥업면 사제리 504-1,사제로 435
4.21304E+18,부론면 손곡리 531,손곡로 137-8
4.21303E+18,지정면 월송리 441-5,송정로 24
4.21303E+18,지정면 신평리 231-13,신무로 80
4.21303E+18,지정면 신평리 184-8,신무로 54-3
4.21303E+18,호저면 만종리 632-3,신무로 20
4.21303E+18,문막읍 건등리 332-14,왕건로 33-27
4.21303E+18,문막읍 동화리 1545-1,왕건로 204-7
4.21303E+18,호저면 만종리 30-15,우무개로 283
4.21303E+18,소초면 흥양리 87,운곡로 310
4.21301E+18,행구동 392-51,운곡로 261-3
4.21301E+18,행구동 385-8,운곡로 254-20
4.21303E+18,호저면 만종리 506-3,원문로 502-2
4.21303E+18,문막읍 반계리 807-3,원문로 2561-5
4.21303E+18,문막읍 반계리 790-4,원문로 2561-2
4.21303E+18,문막읍 동화리 513,원문로 1442
4.21303E+18,문막읍 동화리 114,원문로 1234
4.21303E+18,지정면 안창리 822,원양2로 315
4.21303E+18,소초면 장양리 410-18,장수1로 232-3
4.21303E+18,소초면 수암리 826-3,장수2로 314
4.21304E+18,부론면 정산리 1073-7,정산로 67-25
4.21304E+18,부론면 정산리 1052,정산로 92
4.21303E+18,지정면 가곡리 1476,조엄로 393
4.21303E+18,지정면 가곡리 1476,조엄로 393
4.21303E+18,지정면 가곡리 1470-1,조엄로 397
4.21303E+18,지정면 판대리 157-38,지정로 1025-26
4.21303E+18,지정면 가곡리 927,질마재로 230
4.21303E+18,소초면 교항리 315-23,치악로 3126-9
4.21303E+18,소초면 평장리 668,치악로 2716
4.21301E+18,태장동 2815,치악로 2009-9
4.21301E+18,단구동 224,치악로 1692
4.21301E+18,단구동 224,치악로 1692
4.21301E+18,단구동 171-2,치악로 1620
4.21301E+18,단구동 143-63,치악로 1591-2
4.21301E+18,단구동 17-1,치악로 1472
4.21301E+18,단구동 9,치악로 1464
4.21301E+18,학성동 365-9,평원로 150
4.21301E+18,행구동 133-33,행구로 486-36
4.21301E+18,태장동 770-6,현충로 11
4.21303E+18,소초면 흥양리 1319,황골로 41
4.21303E+18,소초면 흥양리 1253,황골로 84-11
4.21303E+18,소초면 흥양리 266-5,황골로 438
4.21303E+18,소초면 흥양리 1754-4,흥양로 220
4.21303E+18,지정면 신평리 852-5,신평석화로 93
4.21303E+18,문막읍 건등리 204-8,여원로 2175
4.21304E+18,귀래면 운남리 966-4,부귀로 1955
4.21304E+18,부론면 단강리 1377,부귀로 765-11
4.21304E+18,부론면 단강리 706-1,부귀로 937-4
4.21304E+18,부론면 법천리 1000-1,부귀로 163
4.21304E+18,흥업면 매지리 1779-1,북원로 1126
4.21304E+18,흥업면 흥업리 350-13,북원로 1556-26
4.21304E+18,귀래면 운계리 1275-3,북원로 368
4.21303E+18,소초면 장양리 1310,북원로 2955
4.21303E+18,소초면 장양리 1310,북원로 2955
4.21303E+18,소초면 장양리 1310,북원로 2955
4.21303E+18,소초면 장양리 1310,북원로 2955
4.21303E+18,소초면 장양리 768-5,북원로 2981
4.21303E+18,소초면 장양리 184,북원로 3062-6
4.21301E+18,단계동 199,북원로 2302
4.21304E+18,신림면 성남리 515,성남로 194-42
4.21303E+18,문막읍 반계리 2273-8,반산1로 24
4.21303E+18,문막읍 반계리 2271-3,반산1로 22-1
4.21301E+18,반곡동 1963-7,양지로 114
4.21303E+18,지정면 신평리 1053,기업도시로 145
4.21303E+18,지정면 가곡리 1345-6,무릉로 35-1
4.21303E+18,지정면 가곡리 1512,신지정로 250
4.21303E+18,지정면 가곡리 1512,신지정로 250
4.21303E+18,지정면 가곡리 1501,신지정로 250
4.21303E+18,지정면 가곡리 1501,신지정로 250
4.21303E+18,지정면 가곡리 1501,신지정로 250
4.21303E+18,지정면 가곡리 1501,신지정로 300
4.21303E+18,지정면 가곡리 1468,신지정로 255
4.21303E+18,지정면 가곡리 1468,신지정로 255
4.21303E+18,지정면 가곡리 1468,신지정로 255
4.21303E+18,지정면 가곡리 1386-7,신지정로 177
4.21303E+18,지정면 신평리 1069-2,신평로 2-2
4.21303E+18,지정면 가곡리 1557-3,신평로 191
4.21301E+18,가현동 249-3,가치래미길 13
4.21304E+18,신림면 신림리 433-2,갈곡길 23
4.21301E+18,관설동 1649-2,갈촌길 104-60
4.21301E+18,관설동 1595-22,갈촌길 97-6
4.21301E+18,관설동 1569-1,갈촌길 104-48
4.21303E+18,호저면 매호리 873,고논골길 18-31
4.21301E+18,행구동 154-22,고문골길 45-2
4.21301E+18,행구동 151-7,고문골길 52
4.21303E+18,문막읍 건등리 371-8,구암길 57
4.21304E+18,판부면 금대리 959,금대길 10
4.21304E+18,귀래면 운계리 429-1,까치락길 62-1
4.21301E+18,단구동 737-7,나비허리길 57-3
4.21301E+18,개운동 352-4,남원로602번길 28-2
4.21304E+18,판부면 서곡리 918-2,내도매길 102-3
4.21301E+18,단구동 1662-2,단관길 95
4.21301E+18,일산동 341-7,단구로69번길 41
4.21304E+18,흥업면 흥업리 475,당골길 6
4.21304E+18,흥업면 대안리 1018,대안신촌길 21
4.21303E+18,소초면 흥양리 293-52,대왕고개길 51-10
4.21301E+18,행구동 48-44,덕성길 46-33
4.21303E+18,문막읍 건등리 167-7,동건길 103-8
4.21303E+18,문막읍 동화리 608-54,동건길 59
4.21303E+18,문막읍 동화리 311-4,동화골길 73-5
4.21303E+18,문막읍 동화리 1544-1,동화초교길 21
4.21301E+18,무실동 822-24,둔전길 43-2
4.21303E+18,호저면 주산리 30,막골길 191-1
4.21303E+18,문막읍 궁촌리 1966,만디길 25-43
4.21301E+18,단계동 55-1,모란1길 2
4.21304E+18,부론면 노림리 17-4,모산길 2-5
4.21304E+18,부론면 노림리 12-9,모산길 18-6
4.21304E+18,부론면 노림리 8-1,모산길 15-1
4.21304E+18,부론면 노림리 5-1,모산길 21-17
4.21301E+18,단계동 341-53,무실로176번길 11-8
4.21301E+18,무실동 634-1,무실밤골길 29
4.21304E+18,판부면 서곡리 586-50,무실복거리길 9-9
4.21303E+18,문막읍 반계리 2242,문막공단길 128
4.21304E+18,귀래면 주포리 103-1,미륵산길 155-32
4.21301E+18,반곡동 1597-1,반곡길 120
4.21304E+18,신림면 구학리 298-1,방학동길 14-2
4.21304E+18,신림면 구학리 39-3,방학동길 21-27
4.21303E+18,소초면 학곡리 66-1,백교안길 91-3
4.21304E+18,판부면 서곡리 1718-1,백운산길 67-61
4.21304E+18,판부면 서곡리 1618,백운산길 21
4.21304E+18,판부면 서곡리 1339-14,백운정윗길 34-13
4.21304E+18,판부면 서곡리 1319-4,백운정윗길 24
4.21303E+18,소초면 둔둔리 769,버덩마을길 7
4.21303E+18,소초면 둔둔리 435,버덩마을길 95-1
4.21304E+18,부론면 단강리 607-1,벌말길 44-10
4.21303E+18,문막읍 반계리 1752-8,벌무내기길 73-5
4.21304E+18,귀래면 운남리 755-4,법동길 53-39
4.21304E+18,귀래면 운남리 590-2,법동길 3
4.21304E+18,흥업면 사제리 774,복거리길 43
4.21304E+18,흥업면 사제리 770,복거리길 45
4.21304E+18,흥업면 사제리 754-47,복거리길 62-4
4.21301E+18,반곡동 253-3,봉대길 77
4.21301E+18,봉산동 1062-22,봉산3길 17
4.21304E+18,흥업면 사제리 73-1,봉현길 118-14
4.21303E+18,지정면 판대리 261-4,부처동길 13-17
4.21301E+18,태장동 1378,북원로2704번길 18
4.21304E+18,흥업면 매지리 192-3,분지동길 27-14
4.21304E+18,흥업면 매지리 48-3,분지동길 106-20
4.21304E+18,부론면 단강리 1525-5,사기막길 235
4.21304E+18,부론면 단강리 348,사기막길 49-15
4.21304E+18,부론면 단강리 83,사기막길 373
4.21303E+18,문막읍 반계리 862-13,사자골길 314
4.21303E+18,문막읍 반계리 862-13,사자골길 314
4.21303E+18,문막읍 반계리 862,사자골길 314
4.21303E+18,문막읍 반계리 862,사자골길 314
4.21303E+18,소초면 흥양리 1390-10,살여울길 50
4.21303E+18,소초면 흥양리 688-3,상초구길 35-159
4.21304E+18,판부면 서곡리 445-62,서곡널다리길 14
4.21301E+18,행구동 638-13,서천담길 12-10
4.21303E+18,문막읍 건등리 1063-44,석지1길 282
4.21303E+18,문막읍 건등리 1054-4,석지2길 36
4.21304E+18,부론면 단강리 1406,섬뜰작실길 26-10
4.21301E+18,관설동 429-5,섭재길 103
4.21301E+18,관설동 420-3,섭재길 96
4.21301E+18,반곡동 551-21,섭재삼보길 236-4
4.21301E+18,반곡동 543-2,섭재삼보길 252-2
4.21301E+18,단계동 782-10,소삼터길 31
4.21301E+18,무실동 118-6,송삼길 216-63
4.21304E+18,흥업면 대안리 700-4,승안동길 146-6
4.21304E+18,흥업면 대안리 700-4,승안동길 146-6
4.21303E+18,소초면 수암리 1107,신양선녀길 208-52
4.21303E+18,소초면 수암리 545,싱근솔길 28
4.21303E+18,소초면 수암리 529-4,싱근솔길 22-31
4.21303E+18,소초면 수암리 166,싱근솔길 169
4.21303E+18,소초면 평장리 129,어용골길 17-3
4.21301E+18,행구동 1512-107,영랑길 105-6
4.21303E+18,호저면 광격리 784,영산길 54-34
4.21301E+18,반곡동 1454-8,오리현길 71-3
4.21301E+18,단구동 1711,오성마을길 63-30
4.21301E+18,단구동 1711,오성마을길 63-30
4.21303E+18,지정면 간현리 273,오얏길 26
4.21303E+18,지정면 가곡리 112-23,요대길 24-19
4.21303E+18,지정면 가곡리 838-30,요대길 24-16
4.21303E+18,지정면 가곡리 151-5,요대길 30-1
4.21304E+18,흥업면 사제리 245-5,요동길 82-18
4.21304E+18,판부면 서곡리 875-48,용수골길 126-2
4.21304E+18,귀래면 용암리 194-2,용암동막길 299
4.21301E+18,가현동 570-5,우두산길 154
4.21304E+18,귀래면 운남리 539-2,운남길 19
4.21301E+18,반곡동 1188-2,유만길 29
4.21301E+18,단계동 381-14,이화5길 34-6
4.21301E+18,가현동 611,자은향길 92
4.21303E+18,지정면 보통리 549-16,작압길 83-2
4.21304E+18,신림면 황둔리 1005-2,재사동길 65
4.21304E+18,신림면 황둔리 1003-2,재사동길 57
4.21301E+18,가현동 693-3,저금어지길 311-14
4.21301E+18,태장동 399-1,적동1길 160-10
4.21304E+18,신림면 용암리 611-11,정암길 57-6
4.21301E+18,학성동 517,정지길 195-13
4.21301E+18,무실동 721-21,지니기길 99-22
4.21301E+18,무실동 708-9,지니기길 11-22
4.21303E+18,문막읍 건등리 1144-4,지샘등안길 39-20
4.21304E+18,신림면 성남리 37-8,축치동길 84-9
4.21304E+18,신림면 용암리 885-1,탑골길 20-3
4.21301E+18,태장동 1738,태장공단길 42-24
4.21304E+18,판부면 신촌리 882,판부신촌길 212-3
4.21301E+18,단계동 813-3,평원초교길 28-4
4.21303E+18,소초면 평장리 258,평장안골1길 119
4.21303E+18,소초면 평장리 83-1,평장안골1길 167
4.21303E+18,소초면 흥양리 582,하초구길 103-11
4.21304E+18,부론면 정산리 558,학고개길 75
4.21304E+18,부론면 정산리 558,학고개길 75
4.21304E+18,부론면 정산리 558,학고개길 75
4.21304E+18,부론면 정산리 477,학고개길 75
4.21301E+18,단구동 161-2,홍판서길 82-1
4.21301E+18,행구동 1549,화실유암길 92-29
4.21304E+18,신림면 구학리 602-1,황학길 23-37
4.21304E+18,신림면 금창리 52-1,흑천길 71-14
4.21301E+18,태장동 1054-49,흥양로18번길 19-33
4.21301E+18,태장동 2793,흥양로51번길 40
4.21301E+18,태장동 2793,흥양로51번길 40
4.21301E+18,태장동 2793,흥양로51번길 40
4.21304E+18,흥업면 매지리 153-30,분지동1길 46
4.21303E+18,호저면 무장리 604,호매곡1길 302
4.21303E+18,호저면 주산리 1083,호매곡1길 137
4.21301E+18,무실동 1857-16,능라동길 31
4.21301E+18,무실동 1833-8,봉바위길 22
4.21304E+18,흥업면 대안리 779-38,대안천길 52-15
4.21301E+18,반곡동 2007-12,해오름1길 15-2
4.21301E+18,반곡동 1995-22,해오름2길 49
4.21301E+18,반곡동 1995-14,해오름2길 41
4.21301E+18,반곡동 2031-5,달마중2길 5-4
4.21301E+18,반곡동 2027-3,달마중3길 6-3
4.21303E+18,지정면 가곡리 1436-7,능마루길 23-1
4.21301E+18,단구동 851-58,우러리길 11
4.21301E+18,단구동 851-44,우러리길 13
4.21301E+18,단계동 1221,서원대로 35
4.21304E+18,신림면 구학리 258-3,구학산로 1579
4.21304E+18,신림면 황둔리 1724-65,신림황둔로 557-5
4.21304E+18,신림면 황둔리 1536-1,신림황둔로 693
4.21304E+18,신림면 성남리 116-2,신림황둔로 282
4.21304E+18,신림면 신림리 158-53,신림황둔로 164-21
4.21303E+18,지정면 월송리 123,월송석화로 540
4.21303E+18,지정면 월송리 992,월송석화로 570
4.21303E+18,지정면 월송리 925-3,월송석화로 516
4.21303E+18,지정면 월송리 904-12,월송석화로 396
4.21303E+18,지정면 월송리 535-5,월송석화로 72
4.21303E+18,소초면 장양리 1254-13,가현로 354
4.21301E+18,가현동 260,가현로 186
4.21301E+18,단구동 227-16,강변로 315
4.21304E+18,부론면 노림리 1304,견훤로 689-34
4.21304E+18,부론면 노림리 1297,견훤로 689-38
4.21304E+18,부론면 노림리 1297,견훤로 689-38
4.21303E+18,문막읍 후용리 1534-1,견훤로 941-102
4.21303E+18,문막읍 후용리 1007,견훤로 1079-27
4.21304E+18,흥업면 흥업리 1848-1,남원로 20-3
4.21304E+18,흥업면 흥업리 727-2,남원로 111-21
4.21304E+18,흥업면 흥업리 727-2,남원로 111-21
4.21301E+18,단구동 1433-1,늘품로 187-59
4.21301E+18,단구동 686-5,단구로 312
4.21304E+18,흥업면 대안리 1991-24,대안로 511-22
4.21304E+18,흥업면 대안리 1-8,대안로 1032
4.21301E+18,반곡동 1184-6,동부순환로 35-5
4.21301E+18,행구동 1779-9,동부순환로 325-11
4.21301E+18,행구동 1689,동부순환로 261
4.21301E+18,행구동 1579,동부순환로 338-46
4.21303E+18,문막읍 동화리 1039-29,동화공단로 174-13
4.21303E+18,문막읍 동화리 1039,동화공단로 174-15
4.21301E+18,무실동 412,만대로 16-6
4.21303E+18,호저면 매호리 782,매호로 143
4.21303E+18,호저면 매호리 505-3,매호로 95-1
